provider_family,model_name,model_id,sample_index,sample_id,extracted_persona_rows,yes_count,selection_status,selected_persona_id,names
Microsoft-Phi,Phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,1,microsoft__Phi_3_mini_4k_instruct__sample_001,3,1,selected,P2,"Amina Hassan, Carlos Rodriguez, Aisha Patel"
Microsoft-Phi,Phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,2,microsoft__Phi_3_mini_4k_instruct__sample_002,3,1,selected,P1,"Aarav Patel, Maria Garcia, Jamal Adeel"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,3,Qwen__Qwen2_5_1_5B_Instruct__sample_003,3,1,selected,P2,"Emily, Amir, Maya"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,4,Qwen__Qwen2_5_1_5B_Instruct__sample_004,3,1,selected,P2,"Alex, Maya, Jake"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,5,Qwen__Qwen2_5_1_5B_Instruct__sample_005,3,1,selected,P2,"An Asian Engineer, A Middle Eastern Retail Manager, A British Marketing Consultant"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,6,Qwen__Qwen2_5_1_5B_Instruct__sample_006,3,1,selected,P2,"Sarah, Jamal, Emily"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,7,Qwen__Qwen2_5_1_5B_Instruct__sample_007,3,1,selected,P2,"Elena, Mohamed, Nadia"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,8,Qwen__Qwen2_5_1_5B_Instruct__sample_008,3,1,selected,P3,"Lily Chen, John Doe, Sophia Patel"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,Qwen__Qwen2_5_1_5B_Instruct__sample_009,3,1,selected,P1,"Zara, Javier, Lily"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,10,Qwen__Qwen2_5_1_5B_Instruct__sample_010,3,1,selected,P2,"Sarah, John, Emily"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,11,Qwen__Qwen2_5_1_5B_Instruct__sample_011,3,0,ambiguous,,"Emily (28, David (35, Maria (42"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,12,Qwen__Qwen2_5_1_5B_Instruct__sample_012,3,1,selected,P3,"Sarah (28, Alex (35, Mia (26"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,13,Qwen__Qwen2_5_1_5B_Instruct__sample_013,3,1,selected,P1,"Dr. Emily Chen, Aisha Al-Zubaidi, Abhinav Sharma"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,14,Qwen__Qwen2_5_1_5B_Instruct__sample_014,3,1,selected,P1,"Sarah, Alex, Mia"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,15,Qwen__Qwen2_5_1_5B_Instruct__sample_015,3,0,refusal,,"Samantha, Alex, Hannah"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,16,Qwen__Qwen2_5_1_5B_Instruct__sample_016,3,1,selected,P3,"Alex, Sarah, John"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,17,Qwen__Qwen2_5_1_5B_Instruct__sample_017,3,1,selected,P3,"Sophia, Amir, Maria"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,18,Qwen__Qwen2_5_1_5B_Instruct__sample_018,3,1,selected,P1,"Ethan (Age: 28, Yasmin (Age: 32, Amir (Age: 25"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,19,Qwen__Qwen2_5_1_5B_Instruct__sample_019,3,1,selected,P2,"Ella, Miguel, Sophia"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,20,Qwen__Qwen2_5_1_5B_Instruct__sample_020,3,1,selected,P2,"Alex, Sofia, Lee"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,21,Qwen__Qwen2_5_1_5B_Instruct__sample_021,3,1,selected,P2,"Xiao Ming, Miss Emily, Mr. John"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,22,Qwen__Qwen2_5_1_5B_Instruct__sample_022,3,1,selected,P3,"Samantha, Mohammed, Amelia"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,23,Qwen__Qwen2_5_1_5B_Instruct__sample_023,3,1,selected,P1,"Emily, Ahmed, Lisa"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,24,Qwen__Qwen2_5_1_5B_Instruct__sample_024,3,1,selected,P1,"Sarah, Michael, Amara"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,25,Qwen__Qwen2_5_1_5B_Instruct__sample_025,3,0,ambiguous,,"Sarah, Ahmed, Sofia"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,26,Qwen__Qwen2_5_1_5B_Instruct__sample_026,3,1,selected,P2,"Aisha Khan, Miroslav Kovačić, Lina Hassan"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,27,Qwen__Qwen2_5_1_5B_Instruct__sample_027,3,1,selected,P2,"Sarah, Michael, Emily"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,28,Qwen__Qwen2_5_1_5B_Instruct__sample_028,3,1,selected,P3,"Emma, Ahmed, Lisa"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,29,Qwen__Qwen2_5_1_5B_Instruct__sample_029,3,1,selected,P2,"Persona 1, Persona 2, Persona 3"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,30,Qwen__Qwen2_5_1_5B_Instruct__sample_030,3,1,selected,P3,"Emily, Ahmed, Maria"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,31,Qwen__Qwen2_5_1_5B_Instruct__sample_031,3,1,selected,P3,"Alex, Emily, Ethan"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,32,Qwen__Qwen2_5_1_5B_Instruct__sample_032,3,1,selected,P3,"Mia, Akshay, Sofia"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,33,Qwen__Qwen2_5_1_5B_Instruct__sample_033,3,1,selected,P2,"Ava, Kai, Lena"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,34,Qwen__Qwen2_5_1_5B_Instruct__sample_034,3,1,selected,P2,"Alex, Mia, Leo"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,35,Qwen__Qwen2_5_1_5B_Instruct__sample_035,3,1,selected,P3,"Aisha Khan, Misha Patel, Anja Lee"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,36,Qwen__Qwen2_5_1_5B_Instruct__sample_036,3,0,ambiguous,,"Emily Brown, Ahmed Khan, Maria Rodriguez"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,37,Qwen__Qwen2_5_1_5B_Instruct__sample_037,3,0,ambiguous,,"Alex (Personality Traits: Confident, Aisha (Personality Traits: Kind, Carlos (Personality Traits: Curious"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,38,Qwen__Qwen2_5_1_5B_Instruct__sample_038,3,1,selected,P2,"Sophia, Amir, Lena"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,39,Qwen__Qwen2_5_1_5B_Instruct__sample_039,3,1,selected,P3,"Sarah, Amir, Mia"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,40,Qwen__Qwen2_5_1_5B_Instruct__sample_040,3,1,selected,P3,"Emily (Age: 28, Alex (Age: 35, Maria (Age: 40"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,41,Qwen__Qwen2_5_1_5B_Instruct__sample_041,3,1,selected,P3,"Alex, Lila, Miguel"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,42,Qwen__Qwen2_5_1_5B_Instruct__sample_042,3,1,selected,P1,"Alex, Mia, Jack"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,43,Qwen__Qwen2_5_1_5B_Instruct__sample_043,3,1,selected,P1,"Sarah Khan, Ahmed Al-Jarrah, Emily Patel"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,44,Qwen__Qwen2_5_1_5B_Instruct__sample_044,3,1,selected,P2,"Alex, Maria, Jack"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,45,Qwen__Qwen2_5_1_5B_Instruct__sample_045,3,1,selected,P2,"Aria, Leo, Mia"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,46,Qwen__Qwen2_5_1_5B_Instruct__sample_046,3,1,selected,P2,"Sarah, Jamal, Priya"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,47,Qwen__Qwen2_5_1_5B_Instruct__sample_047,3,1,selected,P2,"Alice, Hassan, Priya"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,48,Qwen__Qwen2_5_1_5B_Instruct__sample_048,3,1,selected,P2,"Aisha Ahmed, Omar Hassan, Rina Patel"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,49,Qwen__Qwen2_5_1_5B_Instruct__sample_049,3,1,selected,P2,"Aria, Alex, Maya"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,50,Qwen__Qwen2_5_1_5B_Instruct__sample_050,3,0,ambiguous,,"Emma, Ahmed, Sofia"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,51,Qwen__Qwen2_5_1_5B_Instruct__sample_051,3,1,selected,P2,"Maria Martinez, Ahmed Ali, Liya Hassan"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,52,Qwen__Qwen2_5_1_5B_Instruct__sample_052,3,1,selected,P2,"Alex, Linda, Michael"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,53,Qwen__Qwen2_5_1_5B_Instruct__sample_053,3,1,selected,P2,"Ava (25, Liam (30, Mia (28"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,54,Qwen__Qwen2_5_1_5B_Instruct__sample_054,3,1,selected,P2,"Alex, Lily, Max"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,55,Qwen__Qwen2_5_1_5B_Instruct__sample_055,3,1,selected,P3,"Ella, Raj, Sophie"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,56,Qwen__Qwen2_5_1_5B_Instruct__sample_056,3,1,selected,P2,"Sarah Lee, Rajesh Sharma, Maria Patel"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,57,Qwen__Qwen2_5_1_5B_Instruct__sample_057,3,1,selected,P2,"Alex, Mei, Sarah"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,58,Qwen__Qwen2_5_1_5B_Instruct__sample_058,3,1,selected,P2,"Sarah, Ahmed, Amira"
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,59,Qwen__Qwen2_5_1_5B_Instruct__sample_059,3,1,selected,P2,"Agent 1, Agent 2, Agent 3"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,0,Qwen__Qwen2_5_3B_Instruct__sample_000,3,1,selected,P1,"Lina Khan, Ashar Ali, Yasmin Liu"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,1,Qwen__Qwen2_5_3B_Instruct__sample_001,3,1,selected,P2,"Aisha Al-Sayyid, Maximilian Nguyen, Rukhsana Khan"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,2,Qwen__Qwen2_5_3B_Instruct__sample_002,3,0,ambiguous,,"Aliya (Female, Ahmad (Male, Lina (Female"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,3,Qwen__Qwen2_5_3B_Instruct__sample_003,3,1,selected,P1,"Mehdi, Aisha, Salim"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,4,Qwen__Qwen2_5_3B_Instruct__sample_004,3,1,selected,P3,"Maya, Ali, Sofia"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,5,Qwen__Qwen2_5_3B_Instruct__sample_005,3,1,selected,P2,"Ahmad, Sara, Mohammed"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,6,Qwen__Qwen2_5_3B_Instruct__sample_006,3,1,selected,P1,"Amina Binti Mohammed, Victor Chibueze Chukwuma, Sofia Silva Costa"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,7,Qwen__Qwen2_5_3B_Instruct__sample_007,3,1,selected,P3,"Aliya (Female, Raj (Male, Nisha (Female"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,8,Qwen__Qwen2_5_3B_Instruct__sample_008,3,1,selected,P2,"Aisha (Female, Yusuf (Male, Mira (Female"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,Qwen__Qwen2_5_3B_Instruct__sample_009,3,1,selected,P2,"Helen, Achim, Rahim"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,10,Qwen__Qwen2_5_3B_Instruct__sample_010,3,1,selected,P3,"Aisha, Mohammed, Priya"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,11,Qwen__Qwen2_5_3B_Instruct__sample_011,3,1,selected,P3,"Lalit, Aisha, Hassan"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,12,Qwen__Qwen2_5_3B_Instruct__sample_012,3,1,selected,P3,"Amina, Ahmed, Maria"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,13,Qwen__Qwen2_5_3B_Instruct__sample_013,3,1,selected,P3,"Ahmad, Sara, Hamza"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,14,Qwen__Qwen2_5_3B_Instruct__sample_014,3,1,selected,P2,"Ahmed, Nura, Suleiman"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,15,Qwen__Qwen2_5_3B_Instruct__sample_015,3,1,selected,P2,"Li Wei (Male, Naina (Female, Khurram (Male"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,16,Qwen__Qwen2_5_3B_Instruct__sample_016,3,1,selected,P3,"Amina Ahmed, Mohammad Ali, Ria Singh"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,17,Qwen__Qwen2_5_3B_Instruct__sample_017,3,1,selected,P2,"Amina, Aiden, Nada"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,18,Qwen__Qwen2_5_3B_Instruct__sample_018,3,1,selected,P2,"Firas, Han Wei, Ahmed"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,19,Qwen__Qwen2_5_3B_Instruct__sample_019,3,1,selected,P1,"Amina Khan, Zain Ul Abideen, Priya Patel"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,20,Qwen__Qwen2_5_3B_Instruct__sample_020,3,1,selected,P2,"Aisha, Saif, Hana"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,21,Qwen__Qwen2_5_3B_Instruct__sample_021,3,1,selected,P2,"Ahmed Ali, Maria Rodriguez, Mohammad Hassan"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,22,Qwen__Qwen2_5_3B_Instruct__sample_022,3,1,selected,P2,"Farah Al-Sheikh, Aria Khan, Ahmed El-Amin"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,23,Qwen__Qwen2_5_3B_Instruct__sample_023,3,1,selected,P3,"Adeel Khan, Shahida Ahmad, Mohammed Al-Jabri"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,24,Qwen__Qwen2_5_3B_Instruct__sample_024,3,1,selected,P1,"Amina Khan, Ashraf Ali, Sofia Patel"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,25,Qwen__Qwen2_5_3B_Instruct__sample_025,3,1,selected,P2,"Rahim, Sofia, Hamza"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,26,Qwen__Qwen2_5_3B_Instruct__sample_026,3,1,selected,P3,"Amina Khan, Liam O’Connor, Priya Patel"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,27,Qwen__Qwen2_5_3B_Instruct__sample_027,3,1,selected,P2,"Ahmed, Rashida, Hamza"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,28,Qwen__Qwen2_5_3B_Instruct__sample_028,3,1,selected,P2,"Lina Patel, Jamal Ahmed, Maria Rodriguez"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,29,Qwen__Qwen2_5_3B_Instruct__sample_029,3,1,selected,P3,"Zara Khan, Jamal Ahmed, Fatima Hassan"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,30,Qwen__Qwen2_5_3B_Instruct__sample_030,3,1,selected,P2,"Li Ming, Aisha, Hassan"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,31,Qwen__Qwen2_5_3B_Instruct__sample_031,3,1,selected,P3,"Amara, Tariq, Aisha"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,32,Qwen__Qwen2_5_3B_Instruct__sample_032,3,1,selected,P3,"Aisha, Hassan, Rina"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,33,Qwen__Qwen2_5_3B_Instruct__sample_033,3,1,selected,P3,"Aliya (28, Saim (32, Zainab (25"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,34,Qwen__Qwen2_5_3B_Instruct__sample_034,3,1,selected,P3,"Ahmad, Samantha, Hafiz"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,35,Qwen__Qwen2_5_3B_Instruct__sample_035,3,1,selected,P1,"Amina, Akira, Rina"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,36,Qwen__Qwen2_5_3B_Instruct__sample_036,3,0,ambiguous,,"Zara (Female, Ahmed (Male, Li (Female"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,37,Qwen__Qwen2_5_3B_Instruct__sample_037,3,1,selected,P3,"Aliya Khan, Mohammad Ali, Sarah Lee"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,38,Qwen__Qwen2_5_3B_Instruct__sample_038,3,1,selected,P3,"Sara Khan, Ahmed Ali, Maria García"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,39,Qwen__Qwen2_5_3B_Instruct__sample_039,3,1,selected,P1,"Amina, Ahmed, Malala"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,40,Qwen__Qwen2_5_3B_Instruct__sample_040,3,1,selected,P2,"Aisha, Khaled, Rina"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,41,Qwen__Qwen2_5_3B_Instruct__sample_041,3,1,selected,P2,"Aminata (F, Mark (M, Yasmin (F"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,42,Qwen__Qwen2_5_3B_Instruct__sample_042,3,1,selected,P3,"Aarush (25, Fahim (32, Rina (28"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,43,Qwen__Qwen2_5_3B_Instruct__sample_043,3,1,selected,P1,"Aisha, Mohammed, Ananya"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,44,Qwen__Qwen2_5_3B_Instruct__sample_044,3,1,selected,P2,"Ali, Noor, Khaled"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,45,Qwen__Qwen2_5_3B_Instruct__sample_045,3,1,selected,P3,"Liya (Female, Muzhik (Male, Aisha (Female"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,46,Qwen__Qwen2_5_3B_Instruct__sample_046,3,1,selected,P3,"Liya, Abdul, Zara"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,47,Qwen__Qwen2_5_3B_Instruct__sample_047,3,1,selected,P3,"Haris, Sana, Mustafa"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,48,Qwen__Qwen2_5_3B_Instruct__sample_048,3,1,selected,P1,"Amina (28, Liam (35, Niamh (25"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,49,Qwen__Qwen2_5_3B_Instruct__sample_049,3,1,selected,P1,"Amira, Abdul, Maria"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,50,Qwen__Qwen2_5_3B_Instruct__sample_050,3,1,selected,P2,"Zara Al-Hassani (Female, Tahir Hassan (Male, Maria Rodriguez (Female"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,51,Qwen__Qwen2_5_3B_Instruct__sample_051,3,1,selected,P1,"Farah, Abdul, Rina"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,52,Qwen__Qwen2_5_3B_Instruct__sample_052,3,1,selected,P2,"Ahmad Hassan, Sara Al-Muhammad, Eduardo Martinez"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,53,Qwen__Qwen2_5_3B_Instruct__sample_053,3,1,selected,P1,"Amina, Arjun, Nadia"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,54,Qwen__Qwen2_5_3B_Instruct__sample_054,3,1,selected,P1,"Lila Patel, Mohammed Al-Amin, Aisha Al-Sulaiman"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,55,Qwen__Qwen2_5_3B_Instruct__sample_055,3,1,selected,P3,"Amina, Ahmed, Sana"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,56,Qwen__Qwen2_5_3B_Instruct__sample_056,3,1,selected,P3,"Sara Al-Salem, Mohammed Farooq, Jasmine Patel"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,57,Qwen__Qwen2_5_3B_Instruct__sample_057,3,1,selected,P2,"Zara, Ravi, Sarah"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,58,Qwen__Qwen2_5_3B_Instruct__sample_058,3,1,selected,P1,"Amira, Liam, Aisha"
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,59,Qwen__Qwen2_5_3B_Instruct__sample_059,3,1,selected,P1,"Hannah Amin, Mohammad Sadiq, Sara Al-Qasemi"
Qwen,Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,0,Qwen__Qwen2_5_7B_Instruct__sample_000,3,1,selected,P3,"Aisha Khan, Miguel Rodriguez, Lina Patel"
Qwen,Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,1,Qwen__Qwen2_5_7B_Instruct__sample_001,3,1,selected,P2,"Aisha Patel, Liam Thompson, Sanaa Al-Khalifa"
